day,locker_id,cleared_actual,overflow,S_end,capacity,clear_capacity
5,PL051,40.092857,0.0,43.939286,52.0,60.0
6,PL051,38.003571,0.0,37.935714,52.0,60.0
7,PL051,24.935714,0.0,52.0,52.0,60.0
1,PL052,28.172662,1.8273381,28.0,28.0,60.0
2,PL052,43.05036,5.6115108,20.338129,28.0,60.0
3,PL052,40.496403,0.0,15.841727,28.0,60.0
4,PL052,37.798561,0.0,14.043165,28.0,60.0
5,PL052,34.100719,0.0,9.942446,28.0,60.0
6,PL052,33.107914,0.0,9.8345324,28.0,60.0
7,PL052,39.834532,0.0,28.0,28.0,60.0
1,PL053,30.634812,0.0,52.365188,73.0,60.0
2,PL053,41.778157,0.0,47.587031,73.0,60.0
3,PL053,40.395904,0.0,48.191126,73.0,60.0
4,PL053,41.054608,0.0,52.136519,73.0,60.0
5,PL053,41.880546,0.0,49.255973,73.0,60.0
6,PL053,40.822526,0.0,47.433447,73.0,60.0
7,PL053,22.433447,0.0,73.0,73.0,60.0
1,PL054,27.777372,0.22262774,29.0,29.0,60.0
2,PL054,39.014599,0.0,19.985401,29.0,60.0
3,PL054,38.587591,0.0,24.39781,29.0,60.0
4,PL054,38.39781,0.0,29.0,29.0,60.0
5,PL054,42.080292,0.0,26.919708,29.0,60.0
6,PL054,39.835766,0.0,23.083942,29.0,60.0
7,PL054,33.083942,0.0,29.0,29.0,60.0
1,PL055,23.181818,0.0,69.818182,90.0,60.0
2,PL055,37.272727,0.0,72.545455,90.0,60.0
3,PL055,37.939394,0.0,72.606061,90.0,60.0
4,PL055,40.30303,0.0,75.30303,90.0,60.0
5,PL055,39.94697,0.0,74.356061,90.0,60.0
6,PL055,40.424242,0.0,72.931818,90.0,60.0
7,PL055,11.931818,0.0,90.0,90.0,60.0
1,PL056,29.920152,0.0,37.079848,44.0,60.0
2,PL056,39.680608,0.0,31.39924,44.0,60.0
3,PL056,37.844106,0.0,30.555133,44.0,60.0
4,PL056,38.669202,0.0,35.885932,44.0,60.0
5,PL056,37.813688,0.0,31.072243,44.0,60.0
6,PL056,34.870722,0.0,25.201521,44.0,60.0
7,PL056,24.201521,0.0,44.0,44.0,60.0
1,PL057,29.972125,0.0,66.027875,93.0,60.0
2,PL057,48.369338,0.0,71.658537,93.0,60.0
3,PL057,44.400697,0.0,58.25784,93.0,60.0
4,PL057,40.790941,0.0,54.466899,93.0,60.0
5,PL057,34.020906,0.0,54.445993,93.0,60.0
6,PL057,40.080139,0.0,65.365854,93.0,60.0
7,PL057,6.3658537,0.0,93.0,93.0,60.0
1,PL058,29.972125,0.0,63.027875,92.0,60.0
2,PL058,46.66899,0.0,64.358885,92.0,60.0
3,PL058,44.627178,0.0,59.731707,92.0,60.0
4,PL058,41.449477,0.0,54.28223,92.0,60.0
5,PL058,37.728223,0.0,53.554007,92.0,60.0
6,PL058,39.996516,0.0,60.557491,92.0,60.0
7,PL058,1.5574913,0.0,92.0,92.0,60.0
1,PL059,27.481229,0.0,34.518771,38.0,60.0
2,PL059,44.324232,0.0,35.194539,38.0,60.0
3,PL059,42.679181,0.0,31.515358,38.0,60.0
4,PL059,39.955631,0.0,26.559727,38.0,60.0
5,PL059,38.122867,0.0,28.43686,38.0,60.0
6,PL059,38.43686,0.0,38.0,38.0,60.0
7,PL059,43.051195,0.0,36.948805,38.0,60.0
1,PL060,28.140221,0.0,56.859779,98.0,60.0
2,PL060,37.95572,0.0,48.904059,98.0,60.0
3,PL060,38.431734,0.0,58.472325,98.0,60.0
4,PL060,37.649446,0.0,51.822878,98.0,60.0
5,PL060,39.929889,0.0,55.892989,98.0,60.0
6,PL060,34.892989,0.0,60.0,98.0,60.0
7,PL060,0.0,0.0,98.0,98.0,60.0
1,PL061,30.805369,0.0,41.194631,65.0,60.0
2,PL061,43.590604,0.0,38.604027,65.0,60.0
3,PL061,42.966443,0.0,38.637584,65.0,60.0
4,PL061,40.959732,0.0,36.677852,65.0,60.0
5,PL061,40.261745,0.0,35.416107,65.0,60.0
6,PL061,42.875839,0.0,42.540268,65.0,60.0
7,PL061,18.540268,0.0,65.0,65.0,60.0
1,PL062,25.036789,17.759197,7.2040134,22.0,60.0
2,PL062,41.973244,0.0,15.230769,22.0,60.0
3,PL062,47.230769,0.0,22.0,22.0,60.0
4,PL062,51.64214,0.0,21.35786,22.0,60.0
5,PL062,46.063545,0.0,8.2943144,22.0,60.0
6,PL062,43.113712,0.0,10.180602,22.0,60.0
7,PL062,16.180602,0.0,22.0,22.0,60.0
1,PL063,24.578571,0.0,29.421429,41.0,60.0
2,PL063,38.617857,0.0,32.803571,41.0,60.0
3,PL063,40.321429,0.0,34.482143,41.0,60.0
4,PL063,41.982143,0.0,34.5,41.0,60.0
5,PL063,39.2,0.0,29.3,41.0,60.0
6,PL063,39.485714,0.0,31.814286,41.0,60.0
7,PL063,31.814286,0.0,41.0,41.0,60.0
1,PL064,19.659091,0.0,48.340909,80.0,60.0
2,PL064,31.393939,0.0,50.94697,80.0,60.0
3,PL064,36.80303,0.0,60.143939,80.0,60.0
4,PL064,43.954545,0.0,68.189394,80.0,60.0
5,PL064,44.007576,0.0,59.181818,80.0,60.0
6,PL064,39.814394,0.0,51.367424,80.0,60.0
7,PL064,6.3674242,0.0,80.0,80.0,60.0
1,PL065,21.863158,5.5894737,23.547368,39.0,60.0
2,PL065,33.936842,0.0,29.610526,39.0,60.0
3,PL065,40.610526,0.0,39.0,39.0,60.0
4,PL065,45.421053,0.0,38.578947,39.0,60.0
5,PL065,43.863158,0.0,31.715789,39.0,60.0
6,PL065,38.378947,0.0,27.336842,39.0,60.0
7,PL065,36.336842,0.0,39.0,39.0,60.0
1,PL066,25.351852,0.0,44.648148,61.0,60.0
2,PL066,36.022222,0.0,42.625926,61.0,60.0
3,PL066,36.248148,0.0,44.377778,61.0,60.0
4,PL066,35.111111,0.0,42.266667,61.0,60.0
5,PL066,37.507407,0.0,46.759259,61.0,60.0
6,PL066,40.47037,0.0,52.288889,61.0,60.0
7,PL066,31.288889,0.0,61.0,61.0,60.0
1,PL067,28.702509,3.9641577,31.333333,36.0,60.0
2,PL067,46.333333,0.0,36.0,36.0,60.0
3,PL067,45.566308,0.0,32.433692,36.0,60.0
4,PL067,42.795699,0.0,24.637993,36.0,60.0
5,PL067,38.100358,0.0,23.537634,36.0,60.0
6,PL067,37.304659,0.0,26.232975,36.0,60.0
7,PL067,20.232975,0.0,36.0,36.0,60.0
1,PL068,26.571429,0.0,43.428571,65.0,60.0
2,PL068,35.699248,0.0,39.729323,65.0,60.0
3,PL068,39.172932,0.0,46.556391,65.0,60.0
4,PL068,39.105263,0.0,46.451128,65.0,60.0
5,PL068,40.338346,0.0,43.112782,65.0,60.0
6,PL068,19.112782,0.0,65.0,65.0,60.0
7,PL068,33.0,0.0,65.0,65.0,60.0
1,PL069,24.725979,0.0,25.274021,36.0,60.0
2,PL069,39.701068,0.0,31.572954,36.0,60.0
3,PL069,40.647687,0.0,30.925267,36.0,60.0
4,PL069,40.768683,0.0,27.156584,36.0,60.0
5,PL069,39.049822,0.0,28.106762,36.0,60.0
6,PL069,37.209964,0.0,25.896797,36.0,60.0
7,PL069,36.896797,0.0,36.0,36.0,60.0
1,PL070,26.069767,0.0,64.930233,93.0,60.0
2,PL070,35.457364,0.0,59.472868,93.0,60.0
3,PL070,31.55814,0.0,54.914729,93.0,60.0
4,PL070,32.709302,0.0,64.205426,93.0,60.0
5,PL070,34.748062,0.0,63.457364,93.0,60.0
6,PL070,41.27907,0.0,71.178295,93.0,60.0
7,PL070,16.178295,0.0,93.0,93.0,60.0
1,PL071,32.234848,0.0,43.765152,56.0,60.0
2,PL071,41.439394,0.0,34.325758,56.0,60.0
3,PL071,36.840909,0.0,31.484848,56.0,60.0
4,PL071,35.681818,0.0,36.80303,56.0,60.0
5,PL071,35.973485,0.0,32.829545,56.0,60.0
6,PL071,38.92803,0.0,38.901515,56.0,60.0
