day,locker_id,S_end,overflow,cleared_actual,clear_capacity,capacity
6,PL056,25.201521,0.0,34.870722,60.0,44.0
7,PL056,44.0,0.0,24.201521,60.0,44.0
1,PL057,66.027875,0.0,29.972125,60.0,93.0
2,PL057,71.658537,0.0,48.369338,60.0,93.0
3,PL057,58.25784,0.0,44.400697,60.0,93.0
4,PL057,54.466899,0.0,40.790941,60.0,93.0
5,PL057,54.445993,0.0,34.020906,60.0,93.0
6,PL057,65.365854,0.0,40.080139,60.0,93.0
7,PL057,93.0,0.0,6.3658537,60.0,93.0
1,PL058,63.027875,0.0,29.972125,60.0,92.0
2,PL058,64.358885,0.0,46.66899,60.0,92.0
3,PL058,59.731707,0.0,44.627178,60.0,92.0
4,PL058,54.28223,0.0,41.449477,60.0,92.0
5,PL058,53.554007,0.0,37.728223,60.0,92.0
6,PL058,60.557491,0.0,39.996516,60.0,92.0
7,PL058,92.0,0.0,1.5574913,60.0,92.0
1,PL059,34.518771,0.0,27.481229,60.0,38.0
2,PL059,35.194539,0.0,44.324232,60.0,38.0
3,PL059,31.515358,0.0,42.679181,60.0,38.0
4,PL059,26.559727,0.0,39.955631,60.0,38.0
5,PL059,28.43686,0.0,38.122867,60.0,38.0
6,PL059,35.720137,0.0,40.716724,60.0,38.0
7,PL059,38.0,0.0,39.720137,60.0,38.0
1,PL060,56.859779,0.0,28.140221,60.0,98.0
2,PL060,48.904059,0.0,37.95572,60.0,98.0
3,PL060,58.472325,0.0,38.431734,60.0,98.0
4,PL060,51.822878,0.0,37.649446,60.0,98.0
5,PL060,55.892989,0.0,39.929889,60.0,98.0
6,PL060,56.354244,0.0,38.538745,60.0,98.0
7,PL060,94.354244,0.0,0.0,60.0,98.0
1,PL061,41.194631,0.0,30.805369,60.0,65.0
2,PL061,38.604027,0.0,43.590604,60.0,65.0
3,PL061,38.637584,0.0,42.966443,60.0,65.0
4,PL061,36.677852,0.0,40.959732,60.0,65.0
5,PL061,35.416107,0.0,40.261745,60.0,65.0
6,PL061,42.540268,0.0,42.875839,60.0,65.0
7,PL061,65.0,0.0,18.540268,60.0,65.0
1,PL062,7.2040134,17.759197,25.036789,60.0,22.0
2,PL062,15.230769,0.0,41.973244,60.0,22.0
3,PL062,22.0,0.0,47.230769,60.0,22.0
4,PL062,21.35786,0.0,51.64214,60.0,22.0
5,PL062,8.2943144,0.0,46.063545,60.0,22.0
6,PL062,10.180602,0.0,43.113712,60.0,22.0
7,PL062,22.0,0.0,16.180602,60.0,22.0
1,PL063,29.421429,0.0,24.578571,60.0,41.0
2,PL063,32.803571,0.0,38.617857,60.0,41.0
3,PL063,34.482143,0.0,40.321429,60.0,41.0
4,PL063,34.5,0.0,41.982143,60.0,41.0
5,PL063,29.3,0.0,39.2,60.0,41.0
